1,50
2,60
3,70
4,80
5,100
6,120
7,140
8,170
9,200
10,230
11,270
12,310
13,350
14,400
15,450
16,500
17,560
18,620
19,680
20,750
21,820
22,890
23,970
24,1050
25,1130
26,1220
27,1310
28,1400
29,1500
30,1600
31,1700
32,1810
33,1920
34,2030
35,2150
36,2270
37,2390
38,2520
39,2650
40,2780
41,2920
42,3060
43,3200
44,3350
45,3500
46,3650
47,3810
48,3970
49,4130
50,4300
51,4560
52,4820
53,5090
54,5360
55,5640
56,5920
57,6210
58,6500
59,6800
60,7100
61,7410
62,7720
63,8040
64,8360
65,8690
66,9020
67,9360
68,9700
69,10050
70,10400
71,11120
72,11850
73,12590
74,13340
75,14100
76,14870
77,15650
78,16440
79,17240
80,18050
81,18870
82,19700
83,20540
84,21390
85,22250
86,23120
87,24000
88,24890
89,25790
90,26700
91,28540
92,30400
93,32280
94,34180
95,36100
96,38040
97,40000
98,41980
99,43980
100,0
