1,长门,长门级1号舰,9,18000,1,30,100,130,1,3,80,0,99,0,69,99,0,49,99,98,12,75,20,0,24,0,82,31,4,8#4#25,3#3#3#3
2,陆奥,长门级2号舰,9,18000,1,30,100,130,1,3,80,0,59,0,69,99,0,49,99,98,12,75,3,0,24,0,82,31,4,8#4#25,3#3#3#3
3,伊势,依势级1号舰,9,16200,1,10,85,120,1,3,74,0,69,0,49,89,0,49,79,92,10,70,15,0,22,0,74,28,4,7#4#25,3#3#3#3
4,日向,依势级2号舰,9,16200,1,10,85,120,1,3,74,0,69,0,49,79,0,36,94,89,10,70,15,0,22,0,74,28,4,7#4#25,3#3#3#3
5,雪风,阳炎级8号舰,1,1440,1,20,15,20,3,1,16,0,99,49,89,49,79,19,29,29,6,7,50,24,50,24,10,12,2,2#14,0#0
6,赤城,赤城级1号舰,14,16200,1,30,60,55,3,1,69,0,49,0,49,69,0,69,39,54,69,28,12,0,28,0,0,32,4,20#23#16,18#18#27#10
7,加贺,天城级1号舰,14,15600,1,30,60,55,3,1,71,0,49,0,49,69,0,69,39,59,40,29,10,0,27,0,0,28,4,20#23#16,18#18#45#12
8,苍龙,苍龙级1号舰,14,15000,1,30,50,50,3,1,50,0,49,0,59,69,0,69,29,49,42,27,10,0,33,0,0,26,4,20#23#16,12#27#18#8
9,飞龙,飞龙级1号舰,14,15600,1,30,50,50,3,1,50,0,89,0,69,69,0,69,29,49,42,27,35,0,37,0,0,26,4,20#23#16,12#27#18#7
10,岛风,岛风级1号舰,1,1800,1,20,20,25,3,1,19,0,49,49,99,49,89,19,29,29,7,8,10,24,50,45,12,14,2,2#14,0#0
11,吹雪,吹雪级1号舰,1,1200,1,20,15,20,3,1,15,0,49,49,89,39,79,19,29,19,5,5,17,20,40,27,10,10,2,2#13,0#0
12,白雪,吹雪级2号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,40,27,10,10,2,2#13,0#0
13,初雪,吹雪级3号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,40,27,10,10,2,2,0#0
14,深雪,吹雪级4号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,40,27,10,10,2,2,0#0
15,丛云,吹雪级5号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,40,27,10,10,2,2,0#0
16,矶波,吹雪级9号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,40,27,10,10,2,2,0#0
17,绫波,绫波级1号舰,1,1200,1,20,15,20,3,1,15,0,49,49,89,39,79,19,29,19,5,5,12,20,41,27,10,12,2,2#13,0#0
18,敷波,绫波级2号舰,1,1200,1,20,15,20,3,1,15,0,49,49,79,39,69,19,29,19,5,5,10,20,41,27,10,12,2,2,0#0
19,大井,球磨级4号舰,2,3600,1,10,25,25,3,2,25,0,49,59,77,59,89,39,49,29,8,11,17,19,37,24,14,13,2,4#14,0#0
20,北上,球磨级3号舰,2,3600,1,10,25,25,3,2,25,0,69,59,69,49,79,39,39,29,8,10,15,19,36,24,14,13,2,4#14,0#0
21,金刚,金刚级1号舰,10,14400,1,25,80,110,3,3,63,0,49,0,59,69,0,39,89,69,15,52,12,0,30,0,63,24,3,7#11#25,3#3#3
22,比睿,金刚级2号舰,10,14400,1,25,80,110,3,3,63,0,49,0,59,69,0,39,89,69,15,52,10,0,30,0,63,24,3,7#11#25,3#3#3
23,榛名,金刚级3号舰,10,14400,1,25,80,110,3,3,63,0,69,0,59,69,0,39,89,69,15,52,15,0,30,0,63,24,3,7#11#25,3#3#3
24,雾岛,金刚级4号舰,10,14400,1,25,80,110,3,3,63,0,49,0,59,69,0,39,89,69,15,52,10,0,30,0,63,24,3,7#11#25,3#3#3
25,凤翔,凤翔级1号舰,13,7200,1,25,25,25,1,1,30,0,69,0,39,29,0,69,19,39,69,15,20,0,32,0,0,10,2,23,8#11
