1,100
2,200
3,300
4,400
5,500
6,600
7,700
8,800
9,900
10,1000
11,1100
12,1200
13,1300
14,1400
15,1500
16,1600
17,1700
18,1800
19,1900
20,2000
21,2100
22,2200
23,2300
24,2400
25,2500
26,2600
27,2700
28,2800
29,2900
30,3000
31,3100
32,3200
33,3300
34,3400
35,3500
36,3600
37,3700
38,3800
39,3900
40,4000
41,4100
42,4200
43,4300
44,4400
45,4500
46,4600
47,4700
48,4800
49,4900
50,5000
51,5200
52,5400
53,5600
54,5800
55,6000
56,6200
57,6400
58,6600
59,6800
60,7000
61,7300
62,7600
63,7900
64,8300
65,8700
66,9100
67,9600
68,10100
69,10700
70,11300
71,12000
72,12700
73,13500
74,14400
75,15300
76,16300
77,17400
78,18600
79,19800
80,21100
81,22500
82,24000
83,25600
84,27300
85,29100
86,31000
87,33000
88,35200
89,37500
90,39900
91,42400
92,45100
93,47900
94,50900
95,54000
96,57200
97,60600
98,64200
99,64200
100,0
